roadId,position,laneId,routeId
940005792,31.781467277828984,0,anchieta_descida
322544293#1,6.692743371462911,3,anchieta_descida
940005793#0,1.5612982413203538,2,anchieta_descida
939531672#3,8.209614441417617,0,anchieta_descida
939972818,224.35339949480382,1,anchieta_descida
575382594,4.794858228462252,1,anchieta_descida
939531671-AddedOffRampEdge,56.614262377275466,3,anchieta_descida
gneE8,125.05459381632932,0,anchieta_descida
939982938,38.866748803820755,14,anchieta_descida
4626679#2,9.547054137121117,0,anchieta_descida
575187289,30.82018987476656,1,anchieta_descida
941832850,0.02151990533171323,1,anchieta_descida
575382594-AddedOnRampEdge,5.228765593671438,2,anchieta_descida
939531672#1,8.886126420465137,0,anchieta_descida
gneE10,144.3929350822881,0,anchieta_descida
575187288,6.164077616859372,3,anchieta_descida
939972821-AddedOnRampEdge,3.027060419943897,3,anchieta_descida
939982939,15.980411637056068,9,anchieta_descida
gneE9,108.23087008269485,1,anchieta_descida
gneE11,982.1849566034533,1,anchieta_descida
gneE9,87.80027965512761,0,anchieta_descida
4626488,33.45624379237975,1,anchieta_descida
939982939,4.159536308790307,12,anchieta_descida
575187289-AddedOffRampEdge,25.798283717972065,1,anchieta_descida
939982936,67.27312359788668,1,anchieta_descida
gneE15,165.46473292768724,1,anchieta_descida
939982935,15.252163737861194,5,anchieta_descida
939531672#1,130.80315257882603,1,anchieta_descida
651609801#1,62.59680961100896,0,anchieta_descida
939982935,10.865029528236635,2,anchieta_descida
489458878#5,9.49092477647107,1,anchieta_subida
4624352,126.47096527425413,2,anchieta_subida
939531674#0,30.052963792585352,1,anchieta_subida
489458878#6,10.319761110338165,1,anchieta_subida
310668918#0,4.339482751062346,0,anchieta_subida
gneE20,0.2351007667974334,0,anchieta_subida
gneE18,279.1466134471891,0,anchieta_subida
4624352,5.3038088714874245,1,anchieta_subida
310668918#0,15.791284690694676,1,anchieta_subida
92231487#1,42.138363148166995,0,anchieta_subida
941616728,34.92348409739765,1,anchieta_subida
939531674#0,29.269664089529332,0,anchieta_subida
939972823#1,5.22120445003197,1,anchieta_subida
310668918#1,16.996979109461005,2,anchieta_subida
4624352,6.094161989683453,2,anchieta_subida
651609802#0,240.28862736955062,1,anchieta_subida
286831812-AddedOffRampEdge,5.068208774890811,3,anchieta_subida
939972822,4.490633608671633,1,anchieta_subida
939972823#1-AddedOnRampEdge,28.220381194340607,3,anchieta_subida
746255980#2,17.614290867769867,0,anchieta_subida
939531674#1,2.589810375753758,1,anchieta_subida
941616727,13.764979172355408,0,anchieta_subida
939531673-AddedOffRampEdge,34.391003319704836,1,anchieta_subida
4624352,4.338898498299397,0,anchieta_subida
939972823#1-AddedOffRampEdge,78.58226786365746,1,anchieta_subida
746255980#2,36.02167280353825,1,anchieta_subida
939531673,62.70852152086745,2,anchieta_subida
92231487#3,40.68006432194326,0,anchieta_subida
489458878#6,14.559455248115967,0,anchieta_subida
941616727,9.341902449366067,1,anchieta_subida
193125288#1-AddedOnRampEdge,70.06823712857941,1,descida_imigrantes
987548388#0-AddedOnRampEdge,46.02317347794534,0,descida_imigrantes
153713971#1,1.3665942230645034,2,descida_imigrantes
698776619,46.27287066156711,0,descida_imigrantes
153713971#1,1229.9089296114323,1,descida_imigrantes
575383607,169.4259029282744,1,descida_imigrantes
978320157,17.07351927189357,1,descida_imigrantes
153713971#1,21.952126419021376,1,descida_imigrantes
987548388#1-AddedOnRampEdge,5.908668293079095,0,descida_imigrantes
142719048#0,1.0526946192545106,0,descida_imigrantes
987548388#1-AddedOnRampEdge,20.52192349742714,2,descida_imigrantes
609819733,6.9790013189818145,0,descida_imigrantes
153713952#1,39.20895487450361,1,descida_imigrantes
609819733,9.432248586436263,0,descida_imigrantes
609819733,20.940850248082484,0,descida_imigrantes
987548388#0,41.918335381571076,2,descida_imigrantes
193125288#2,123.56877481288488,2,descida_imigrantes
619762658,21.33599084503723,2,descida_imigrantes
609819733,15.586486071604641,0,descida_imigrantes
286619528#1,27.438005416979795,2,descida_imigrantes
142700909#1,10.362641480975835,0,descida_imigrantes
609819733,53.911887612997695,2,descida_imigrantes
609819733,11.401592655743814,2,descida_imigrantes
987548388#1,82.09022095798247,0,descida_imigrantes
619829018,2.935101414699167,1,descida_imigrantes
142719048#0,1.9192897354092686,0,descida_imigrantes
721640626#1,26.732263874387606,11,descida_imigrantes
987548388#1-AddedOnRampEdge,3.0701410230524138,4,descida_imigrantes
193125288#1,60.664318490673324,2,descida_imigrantes
987548388#1,333.82554188534726,2,descida_imigrantes
619763204#3,3.1009206389348143,2,subida_imigrantes
619825349,260.5046734069015,4,subida_imigrantes
698776621#1,48.14802776402214,1,subida_imigrantes
939088188,47.054975273198664,4,subida_imigrantes
939088187,42.4816718051873,4,subida_imigrantes
